text,true_label,llm_label
@166371 I used @MOO. I've used them in the past and they've always turned out great. I just had to rush the design on these ones!,General,General
Le envi√© un dm a la cuenta de @AmericanAir y estoy impresionada por la velocidad y calidad de la respuesta. Ojal√° todos los CM fueran as√≠.,General,General
"@ArgosHelpers hello, I bought an xbox last month and one of the buttons doesn't work on the control? It what do I do? Everything else works",Technical Issues,Technical Issues
"@115879 @AskLyft Is there any way to get your app to stop asking this every time I request a ride? If there isn‚Äôt, I‚Äôm going to stop using your service. I don‚Äôt want to use notifications. https://t.co/7zxe7g7rzT",Technical Issues,Technical Issues
@AmericanAir Really? Tell me why I qualified when I left EWR? &amp; why a colleague on the exact same Status as me qualified leaving COS on the same flight,Technical Issues,General
"@AmazonHelp Es lo que hago, hice mi pregunta porque en el sitio dec√≠a que estar√≠a disponible desde el d√≠a de ayer. De cualquier manera gracias.",General,General
Why y‚Äôall still got my shit tweakin? @115858,General,Technical Issues
@AskPapaJohns Email me not putting out on tweeter,General,General
"@sainsburys No it wasn't, it was a technical glitch, was able to book this morning but thanks for not looking into it.",Technical Issues,Technical Issues
"@AmericanAir I hope so because if mine is cancelled, I miss being best man at my brothers wedding. I would hate for my previous appreciation for AA to push me elsewhere...",Refund/Cancellation,General
"@117086 Oi, boa noite. Ontem eu comprei um livro e sem querer comprei de novo, mas n√£o foi contabilizado, hoje paguei mais caro.",General,Billing
„ÅÇ„Åæ„Åû„Çì„ÅØ„ÇØ„É¨„Ç´Êâï„ÅÑ„Åó„Åã‰Ωø„Å£„Åü„Åì„Å®ÁÑ°„Åã„Å£„Åü„Åë„Å©„ÄÅSuica„Åß„ÇÇÊîØÊâï„ÅÑ„Åå„Åß„Åç„Çã„Çâ„Åó„ÅÑ„Å®„ÅÑ„ÅÜ„Åì„Å®„Åß‰ªäÊúù„Åª„Å©SuicaÊâï„ÅÑ„ÇíÈÅ∏„Çì„Åß„Åø„Åü„Çè„Åë„Åß„Åô„Åå„ÄÅ30ÂàÜÁ´ã„Å£„Åü„Çâ„ÄåÂà•ÈÄîÊîØÊâï„ÅÑÊâãÁ∂ö„Åç„ÅÆ„Åü„ÇÅ„ÅÆ„É°„Éº„É´„ÅåÊù•„Çã„Äç„Çâ„Åó„ÅÑ„Åë„Å©„ÄÅ„ÅäÊòº„Å´„Å™„Å£„Åü‰ªä„ÇÇ„ÄÅ„Åæ„Å†Êù•„Å™„ÅÑ„ÄÇ,General,General
@AmazonHelp I need a compensation for sure.....its purely your fault,Refund/Cancellation,General
@SW_Help great conductor working 2c25 very informative and well with regards with handling a delay and informing everybody travelling.,General,General
"#glo's data plan is simply amazing, however, the network sucks. @GloCare please look into this.",Technical Issues,Technical Issues
"@AskTigogh Good morning,Please have not heard from you..thanks",General,General
@TfL Hello?,General,General
@AmazonHelp Thanx.Actualmente calculo que el 60-70 las hago con vuestro servicio. Y satisfecho el 99% tan  por precio como por celeridad y servicio post,Technical Issues,General
@116035 SOS HOW CAN I FREEZE MY CREDIT CARD ON https://t.co/fSplTss3Ws,Billing,Billing
@SouthwestAir over half of your ticketing kiosks are out of service at @138523. 6/16 work.,Technical Issues,Technical Issues
I can‚Äôt watch @118134 tonight because my @115900 internet has been out since last night and they keep pushing the resolution time.,Technical Issues,Technical Issues
"@SpotifyCares I was asked earlier to sign in again as my '3 month trial period' was up and if I wanted to upgrade to premium...???..I subscribe and pay for premium via my mobile provider, so was wondering if there was a known issue..??",Account Issues,Billing
"@AppleSupport And yes, I‚Äôve restarted my phone, my WiFi, my home internet, the apps, my life, your life...",Technical Issues,Technical Issues
IÔ∏è understand flight delays happen but it would be nice if @SouthwestAir would provide an update. Still says on time &amp; it‚Äôs already late.,Technical Issues,General
Yo @115858 what‚Äôs supp with these square boxed question marks it‚Äôs annoying,General,Technical Issues
@AppleSupport I‚Äôve tried but no ones replying! Thank you,General,General
@115940 your live tv needs a lot of work. Buffers way too much.,Technical Issues,Technical Issues
"@Tesco She doesn't have one, and it was me who placed the order",Delivery,General
"@AmazonHelp prime membership says it‚Äôs suspended, updated payment method but still says it‚Äôs suspended? How do I fix it to get Prime back?",Delivery,Billing
@ATVIAssist @115765 I got 50 kills in war and said I still need to complete the 45 kills in war challenge.....???,Technical Issues,Technical Issues
@VerizonSupport This one? https://t.co/BCcwKrL5hb,General,General
@AmericanAir I need your help. Stuck on flight1364 waiting on the tarmac in ORD cause of a maintenance issue on a plane at our gate. I need to make my connection to flight 1487.,Technical Issues,General
@idea_cares Mere ko urgently problem solved karke chahiye,General,Technical Issues
@Uber_Support Don't fancy replying to that?,General,General
@115858 Fucking fix this ‚ÄúI.T‚Äù bug. I‚Äôve had I.T up to here with I.T. I.T is really fucking annoying. I can‚Äôt deal with I.T. Get I.T?,Technical Issues,Technical Issues
"@121513 @SW_Help Done already! Well I hope somebody finds it, shame there are so many possible areas it could have fallen out üòñ",General,General
That feeling when @116057 asks you to DM them to reconcile the order they messed up on-and then they don't respond.... #dissapointed,Delivery,Delivery
"Hello, someone called me using 0713204691 and claimed to be a saf agent and wanted to get my line details, stop this crook @Safaricom_Care",Technical Issues,General
"@115817 @UPSHelp Loving how you moved my delivery date, canceled my two-hour delivery window YET still kept my money...",Refund/Cancellation,Delivery
"@British_Airways This does not address my question: why don't you allow guitars though they fit in overhead compartments? In addition, your rules for violins &amp; violas are self-contradictory (you say you will ""make an effort"",but then claim instr. &gt;56cm will be checked in"") https://t.co/NSAJI3UHXl",Technical Issues,General